#              X                D                V                M
0.0000100000000000 1.7500000000000000 -0.0000070000000000 0.0000000000000000
0.0000100903947853 1.7500000000002160 -0.0000070632617018 0.0000000000000002
0.0000101816066923 1.7500000000004339 -0.0000071270952564 0.0000000000000004
0.0000102736431074 1.7500000000006539 -0.0000071915058331 0.0000000000000006
0.0000103665114837 1.7500000000008760 -0.0000072564986478 0.0000000000000008
0.0000104602193416 1.7500000000010998 -0.0000073220789636 0.0000000000000010
0.0000105547742698 1.7500000000013261 -0.0000073882520913 0.0000000000000012
0.0000106501839252 1.7500000000015541 -0.0000074550233896 0.0000000000000014
0.0000107464560341 1.7500000000017839 -0.0000075223982656 0.0000000000000016
0.0000108435983927 1.7500000000020162 -0.0000075903821753 0.0000000000000019
0.0000109416188675 1.7500000000022504 -0.0000076589806241 0.0000000000000021
0.0000110405253964 1.7500000000024869 -0.0000077281991671 0.0000000000000023
0.0000111403259886 1.7500000000027254 -0.0000077980434097 0.0000000000000025
0.0000112410287262 1.7500000000029661 -0.0000078685190078 0.0000000000000027
0.0000113426417640 1.7500000000032088 -0.0000079396316685 0.0000000000000030
0.0000114451733307 1.7500000000034539 -0.0000080113871506 0.0000000000000032
0.0000115486317293 1.7500000000037013 -0.0000080837912649 0.0000000000000034
0.0000116530253379 1.7500000000039506 -0.0000081568498746 0.0000000000000036
0.0000117583626102 1.7500000000042024 -0.0000082305688960 0.0000000000000039
0.0000118646520765 1.7500000000044567 -0.0000083049542989 0.0000000000000041
0.0000119719023442 1.7500000000047129 -0.0000083800121071 0.0000000000000043
0.0000120801220984 1.7500000000049716 -0.0000084557483988 0.0000000000000046
0.0000121893201028 1.7500000000052323 -0.0000085321693070 0.0000000000000048
0.0000122995052001 1.7500000000054960 -0.0000086092810203 0.0000000000000051
0.0000124106863133 1.7500000000057616 -0.0000086870897834 0.0000000000000053
0.0000125228724458 1.7500000000060296 -0.0000087656018971 0.0000000000000055
0.0000126360726824 1.7500000000063003 -0.0000088448237194 0.0000000000000058
0.0000127502961901 1.7500000000065734 -0.0000089247616656 0.0000000000000060
0.0000128655522187 1.7500000000068485 -0.0000090054222091 0.0000000000000063
0.0000129818501018 1.7500000000071265 -0.0000090868118820 0.0000000000000066
0.0000130991992570 1.7500000000074072 -0.0000091689372750 0.0000000000000068
0.0000132176091874 1.7500000000076901 -0.0000092518050387 0.0000000000000071
0.0000133370894819 1.7500000000079758 -0.0000093354218839 0.0000000000000073
0.0000134576498159 1.7500000000082641 -0.0000094197945817 0.0000000000000076
0.0000135792999525 1.7500000000085545 -0.0000095049299646 0.0000000000000079
0.0000137020497428 1.7500000000088480 -0.0000095908349271 0.0000000000000081
0.0000138259091273 1.7500000000091440 -0.0000096775164256 0.0000000000000084
0.0000139508881360 1.7500000000094427 -0.0000097649814797 0.0000000000000087
0.0000140769968898 1.7500000000097442 -0.0000098532371722 0.0000000000000090
0.0000142042456009 1.7500000000100482 -0.0000099422906502 0.0000000000000092
0.0000143326445740 1.7500000000103551 -0.0000100321491252 0.0000000000000095
0.0000144622042069 1.7500000000106646 -0.0000101228198739 0.0000000000000098
0.0000145929349913 1.7500000000109772 -0.0000102143102389 0.0000000000000101
0.0000147248475138 1.7500000000112925 -0.0000103066276291 0.0000000000000104
0.0000148579524568 1.7500000000116107 -0.0000103997795204 0.0000000000000107
0.0000149922605990 1.7500000000119316 -0.0000104937734562 0.0000000000000110
0.0000151277828168 1.7500000000122555 -0.0000105886170482 0.0000000000000113
0.0000152645300848 1.7500000000125824 -0.0000106843179767 0.0000000000000116
0.0000154025134767 1.7500000000129121 -0.0000107808839918 0.0000000000000119
0.0000155417441666 1.7500000000132450 -0.0000108783229133 0.0000000000000122
0.0000156822334293 1.7500000000135805 -0.0000109766426318 0.0000000000000125
0.0000158239926417 1.7500000000139195 -0.0000110758511093 0.0000000000000128
0.0000159670332834 1.7500000000142613 -0.0000111759563797 0.0000000000000131
0.0000161113669379 1.7500000000146063 -0.0000112769665496 0.0000000000000134
0.0000162570052934 1.7500000000149545 -0.0000113788897987 0.0000000000000138
0.0000164039601437 1.7500000000153058 -0.0000114817343808 0.0000000000000141
0.0000165522433892 1.7500000000156599 -0.0000115855086244 0.0000000000000144
0.0000167018670380 1.7500000000160176 -0.0000116902209330 0.0000000000000147
0.0000168528432064 1.7500000000163787 -0.0000117958797862 0.0000000000000151
0.0000170051841208 1.7500000000167424 -0.0000119024937404 0.0000000000000154
0.0000171589021175 1.7500000000171101 -0.0000120100714291 0.0000000000000157
0.0000173140096448 1.7500000000174807 -0.0000121186215640 0.0000000000000161
0.0000174705192632 1.7500000000178546 -0.0000122281529356 0.0000000000000164
0.0000176284436470 1.7500000000182321 -0.0000123386744136 0.0000000000000168
0.0000177877955848 1.7500000000186131 -0.0000124501949482 0.0000000000000171
0.0000179485879811 1.7500000000189975 -0.0000125627235702 0.0000000000000175
0.0000181108338568 1.7500000000193852 -0.0000126762693923 0.0000000000000178
0.0000182745463506 1.7500000000197764 -0.0000127908416094 0.0000000000000182
0.0000184397387199 1.7500000000201712 -0.0000129064494996 0.0000000000000186
0.0000186064243422 1.7500000000205698 -0.0000130231024249 0.0000000000000189
0.0000187746167155 1.7500000000209717 -0.0000131408098317 0.0000000000000193
0.0000189443294602 1.7500000000213771 -0.0000132595812522 0.0000000000000197
0.0000191155763196 1.7500000000217864 -0.0000133794263043 0.0000000000000200
0.0000192883711613 1.7500000000221994 -0.0000135003546933 0.0000000000000204
0.0000194627279783 1.7500000000226161 -0.0000136223762118 0.0000000000000208
